"x","valeur"
"Problèmes Puits","19.375"
"NPT Sonatrach","6.5833333333333"
"NPT Entrepreneur","4"
"NPT Sociétés de Services","4.4270833333333"
"Attentes Escortes","1.2916666666667"
"Blocage des mouvements",""
