"x","valeur"
"Problèmes Puits","38.645833333333"
"NPT Sonatrach","1.8125"
"NPT Entrepreneur","8.65625"
"NPT Sociétés de Services","260.79166666667"
"Attentes Escortes","8.0208333333333"
"Blocage des mouvements",""
